,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
165,5,0.1944435000186786,17.3428,6006.0,True,1000,0.1,50
166,6,0.22344475000863895,17.3428,7007.0,True,1000,0.1,50
167,0,0.030903959006536752,26.6205,1000.0,True,1000,0.25,50
168,1,0.07666029199026525,17.3428,2002.0,True,1000,0.25,50
169,2,0.10495883401017636,17.3428,3003.0,True,1000,0.25,50
170,3,0.13408591703046113,17.3428,4004.0,True,1000,0.25,50
171,4,0.1660845840233378,17.3428,5005.0,True,1000,0.25,50
172,5,0.1944435000186786,17.3428,6006.0,True,1000,0.25,50
173,6,0.22344475000863895,17.3428,7007.0,True,1000,0.25,50
174,0,0.030903959006536752,26.6205,1000.0,True,1000,0.5,50
175,1,0.07666029199026525,17.3428,2002.0,True,1000,0.5,50
176,2,0.10495883401017636,17.3428,3003.0,True,1000,0.5,50
177,3,0.13408591703046113,17.3428,4004.0,True,1000,0.5,50
178,4,0.1660845840233378,17.3428,5005.0,True,1000,0.5,50
179,5,0.1944435000186786,17.3428,6006.0,True,1000,0.5,50
180,6,0.22344475000863895,17.3428,7007.0,True,1000,0.5,50
181,0,0.030903959006536752,26.6205,1000.0,True,1000,0.7,50
182,1,0.07666029199026525,17.3428,2002.0,True,1000,0.7,50
183,2,0.10495883401017636,17.3428,3003.0,True,1000,0.7,50
184,3,0.13408591703046113,17.3428,4004.0,True,1000,0.7,50
185,4,0.1660845840233378,17.3428,5005.0,True,1000,0.7,50
186,5,0.1944435000186786,17.3428,6006.0,True,1000,0.7,50
187,6,0.22344475000863895,17.3428,7007.0,True,1000,0.7,50
188,0,0.030903959006536752,26.6205,1000.0,True,1000,0.8,50
189,1,0.07666029199026525,17.3428,2002.0,True,1000,0.8,50
190,2,0.10495883401017636,17.3428,3003.0,True,1000,0.8,50
191,3,0.13408591703046113,17.3428,4004.0,True,1000,0.8,50
192,4,0.1660845840233378,17.3428,5005.0,True,1000,0.8,50
193,5,0.1944435000186786,17.3428,6006.0,True,1000,0.8,50
194,6,0.22344475000863895,17.3428,7007.0,True,1000,0.8,50
