,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
35,50,583.0,11530,10.955257666995749,"[7.0, 2.0, 19.0, 34.0, 20.0, 13.0, 32.0, 7.0, 14.0, 24.0, 0.0, 17.0, 23.0, 26.0, 6.0, 25.0, 9.0, 16.0, 8.0, 4.0, 22.0, 27.0, 5.0, 33.0, 33.0, 21.0, 10.0, 31.0, 16.0, 1.0, 19.0, 34.0, 30.0, 28.0, 15.0]",True,500,0.5,50
36,0,567.0,500,0.10324779199436307,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,500,0.7,50
37,50,572.0,3507,3.6755879999836907,"[21.0, 22.0, 18.0, 7.0, 26.0, 27.0, 22.0, 2.0, 14.0, 17.0, 9.0, 20.0, 14.0, 32.0, 34.0, 13.0, 28.0, 26.0, 12.0, 6.0, 31.0, 28.0, 15.0, 3.0, 0.0, 16.0, 9.0, 8.0, 14.0, 27.0, 20.0, 1.0, 29.0, 24.0, 33.0]",True,500,0.7,50
38,0,567.0,500,0.10292437497992069,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,500,0.8,50
39,50,576.0,5512,11.059732749999966,"[8.0, 2.0, 24.0, 14.0, 7.0, 34.0, 11.0, 18.0, 28.0, 31.0, 12.0, 3.0, 16.0, 34.0, 1.0, 33.0, 2.0, 24.0, 32.0, 4.0, 12.0, 0.0, 16.0, 18.0, 21.0, 13.0, 8.0, 25.0, 23.0, 1.0, 28.0, 0.0, 3.0, 9.0, 27.0]",True,500,0.8,50
40,0,567.0,1000,0.28948462498374283,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,1000,0.1,50
41,50,584.0,14019,8.095558082975913,"[29.0, 26.0, 4.0, 26.0, 14.0, 25.0, 1.0, 23.0, 17.0, 13.0, 7.0, 30.0, 2.0, 11.0, 0.0, 30.0, 3.0, 23.0, 32.0, 12.0, 16.0, 18.0, 33.0, 28.0, 24.0, 8.0, 11.0, 31.0, 34.0, 20.0, 5.0, 15.0, 21.0, 27.0, 0.0]",True,1000,0.1,50
42,0,567.0,1000,0.20529354200698435,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,1000,0.25,50
43,50,582.0,20027,13.676941499987151,"[18.0, 21.0, 14.0, 11.0, 23.0, 2.0, 33.0, 30.0, 17.0, 1.0, 1.0, 32.0, 34.0, 15.0, 8.0, 26.0, 14.0, 24.0, 32.0, 12.0, 16.0, 5.0, 2.0, 27.0, 11.0, 6.0, 7.0, 22.0, 29.0, 3.0, 24.0, 9.0, 20.0, 28.0, 10.0]",True,1000,0.25,50
44,0,567.0,1000,0.20654800004558638,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,1000,0.5,50
45,50,583.0,28036,26.35523466602899,"[17.0, 30.0, 0.0, 7.0, 11.0, 13.0, 18.0, 14.0, 8.0, 19.0, 31.0, 1.0, 32.0, 16.0, 12.0, 27.0, 5.0, 20.0, 31.0, 4.0, 26.0, 4.0, 21.0, 34.0, 6.0, 2.0, 23.0, 29.0, 10.0, 5.0, 18.0, 24.0, 33.0, 28.0, 28.0]",True,1000,0.5,50
46,0,567.0,1000,0.20820354198804125,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,1000,0.7,50
47,50,576.0,11015,11.746279291983228,"[31.0, 0.0, 25.0, 2.0, 15.0, 20.0, 4.0, 19.0, 12.0, 9.0, 30.0, 5.0, 10.0, 2.0, 9.0, 34.0, 28.0, 4.0, 23.0, 33.0, 34.0, 4.0, 26.0, 11.0, 14.0, 27.0, 3.0, 33.0, 7.0, 10.0, 6.0, 32.0, 18.0, 29.0, 4.0]",True,1000,0.7,50
48,0,567.0,1000,0.20628654200118035,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,1000,0.8,50
